serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2010-03163,ABC MULTIACTIVE LIMITED abc Multiactive Limited annual report 2009,辰罡科技有限公司二零零九年年報,English,,,abc Multiactive Limited,,,,,,,,,,,Hong Kong,2010,"84, 84 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2010-03126,ABERDEEN KAI-FONG WELFARE ASSOCIATION SOCIAL SERVICE CENTRE Aberdeen Kai-Fong Welfare Association Social Service Centre 2008-09 annual report,香港仔街坊福利會社會服務中心2008-09年報,English,,,Aberdeen Kai-Fong Welfare Association Social Service Centre,,,,,,,,,,,Hong Kong,2010,"99 p. : col. ill., col. ports, col. charts ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2010-00756,ACCESS,達,English,edited Bentley Communications,,Prince of Wales Hospital,978-962-85039-3-3,,,,Unpriced,,,,,,Hong Kong,2009,"111, 111 p. : col. ill., col. ports ; 27 x 35 cm.",Text in Chinese and English,
2010-00673,The ADVENTURES of clumsy Chloe,,English,,by Sophie Cowieson ... [et al.] ; illustrated by Katie Lo,Elephant Community Press,978-988-18112-8-8,,pbk.,$,85.00,,,,,,Hong Kong,2009,47 p. : col. ill. ; 14 x 21 cm.,,
2010-02635,Unsung hero,,English,Trish Albert,,Pearson Education Australia Group Pty Limited,978-0-7312-7446-8,,pbk.,,Unpriced,,,,,,Port Melbourne,2010,"32 p. : ill. (some col.), map ; 25 cm.",Includes index Glossary,
2010-01229,ALIVE maths & science after school kit : inquirers,,English,,,TLC Global Holding Limited,978-988-18890-1-0,,sp,,Unpriced,,,,,,Hong Kong,2010,43 p. : col. ill. ; 32 cm.,+ 1 DVD,
2010-01230,ALIVE maths & science after school kit : investigators,,English,,,TLC Global Holding Limited,978-988-18890-2-7,,sp,,Unpriced,,,,,,Hong Kong,2010,43 p. : col. ill. ; 32 cm.,+ 1 DVD,
2010-01947,AMARILLO pasion,,English,,,O’Hagan & Dou Publishers Limited,978-988-18202-1-1,,,$,1150.00,,,,,,Hong Kong,2009,"1067 p. : ill. (some col.), maps ; 25 cm.",+ 1 booklet Includes bibliographical references,
2010-01895,The AMBIGUOUS allure of the West : traces of the colonial in Thailand,,English,,"edited by Rachel V. Harrison, Peter A. Jackson",Hong Kong University Press,978-962-209-121-4,,,$,395.00,,,,,,Hong Kong,2010,"xxiii, 268 p. : ill. ; 24 cm.",Includes bibliographical references and index,
2010-01098,AMS PUBLIC TRANSPORT HOLDINGS LIMITED AMS Public Transport Holdings Limited interim report 2009-2010,進智公共交通控股有限公司2009-2010中期報告書,English,,,AMS Public Transport Holdings Limited,,,,,,,,,,,Hong Kong,2009,"30, 30 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
