serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2009-00495,2008 manpower survey report : mass communication industry,大眾傳播業二○○八人力調查報告,English,,,"Vocational Training Council, Mass Communications Training Board",,,,,,,,,,,Hong Kong,2009,"iv, 293 p. : charts; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2009-02363,The 2009 Asian private equity 300 : the Asian venture capital and private equity source book,,English,,,AVCJ Group Limited,978-962-7472-30-8,,pbk.,$,2300.00,,,,,,Hong Kong,2008,428 p. ; 30 cm.,Includes index,20th ed.
2009-01572,2009 directory training services in China,,English,,edited by Universal Ideas Management Training Company Limited.,China Science Culture Publishing House,978-988-17992-7-2,,pbk.,CNY,10.00,,,,,,Hong Kong,2009,"237 p. : ill. (some col.), col. charts ; 21 cm.",Text in Chinese and English,12th ed.
2009-01469,2009 official guide to communications in Hong Kong,2009香港通訊業概覽,English,,,Communications Association of Hong Kong,978-988-98162-4-7,,,$,300.00,,,,,,Hong Kong,2008,"158 p. : col. ill., col. ports ; 30 cm.",Text in Chinese and English,Special ed.
2009-01490,360 modern architecture II,,English,,edited by Wang Shaoqiang,Sandu Publishing Company Limited,978-988-18058-2-9,,,,Unpriced,,,,,,Hong Kong,2009,443 p. : ill. (chiefly col.) ; 30 cm.,,
2009-02432,A2 science in society,,English,,"edited by Angela Hall, Andrew Hunt",Pearson Education Limited,978-0-435654-65-8,,pbk.,GBP,12.16,,,,,,Essex,2009,"viii, 213 p. : col. ill., charts ; 27 cm.",,
2009-01583,,辰罡科技有限公司二零零八年年報,English,,,abc Multiactive Limited,,,,,,,,,,,Hong Kong,2009,"80, 80 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-00892,‘AD’ ‘am’’an’ book,,English,,,Education Bureau,978-988-8006-44-1,,pbk.,,Unpriced,,,,,,Hong Kong,2009,11 p. : col. ill. ; 21 cm.,,
2009-01681,The AGE of innocence,純真年代,English,,edited by Michela Bruzzo,The Commercial Press (Hong Kong) Limited,978-962-07-1856-4,,pbk.,$,49.00,,,,,,Hong Kong,2009,143 p. : col. ill. ; 21 cm.,+ 1 CDROM (Black cat優質英語階梯閱讀. Level 5) Text in Chinese and English,
2009-00115,ALL about Shanghai and environs : the 1934- 35 standard guide book,,English,,,China Economic Review Publishing (Hong Kong) Limited,978-988-17621-4-6,,pbk.,USD,25.00,,,,,,Hong Kong,2008,"xxxvi, 261 p. : ill. ; 21 cm.",+ 1 map,
2009-01529,AMRC 30th anniversary proceedings : labour resurgence under globalization,,English,,,Asia Monitor Resource Centre,978-962-7145-35-6,,pbk.,,Unpriced,,,,,,Hong Kong,2008,"123 p. : ill. (chiefly col.), ports ; 26 cm.",,
2009-01069,AMS PUBLIC TRANSPORT HOLDINGS LIMITED AMS Public Transport Holdings Limited interim report 2008-09,進智公共交通控股有限公司2008-09中期報告書,English,,,AMS Public Transport Holdings Limited,,,,,,,,,,,Hong Kong,2008,"28, 28 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2009-02421,The feast,,English,"ANDERSON, Moira",by Moira Anderson ; illustrated by Pat Reynolds,Pearson Education Australia Group Pty Limited,978-1-7414-0448-7,,pbk.,,Unpriced,,,,,,Port Melbourne,2009,16 p. : col. ill. ; 21 cm.,Making connections. 1,
2009-02422,Seasons,,English,"ANDERSON, Moira",by Moira Anderson,Pearson Education Australia Group Pty Limited,978-1-7414-0449-4,,pbk.,,Unpriced,,,,,,Port Melbourne,2009,16 p. : col. ill. ; 21 cm.,Making connections. 1,
2009-02433,"Economics. A level, Student book",,English,Alain Anderton,,Pearson Education Limited,978-1-4058-9228-5,,pbk.,,Unpriced,,,,,,Essex,2008 (3rd impression),"iv, 631 p. : col. ill., col. charts ; 27 cm.",Includes index,5th ed.
2009-02424,Saying what you see : how to talk and write about art,,English,"ANNALS, Alison","Alison Annals, Abby Cunnane, Sam Cunnane",Pearson Education New Zealand Limited,978-0-7339-9326-8,,pbk.,,Unpriced,,,,,,New Zealand,2009,116 p. : col. ill. ; 24 cm.,Glossary,
2009-00891,‘AP’ ‘ag’ book,,English,,,Education Bureau,978-988-8006-15-1,,pbk.,,Unpriced,,,,,,Hong Kong,2009,12 p. : col. ill. ; 21 cm.,,
2009-01491,APD Asia-Pacific design. No.4,亞太設計年鑒. No.4,English,,edited by Wang Shaoqiang,Sandu Publishing Company Limited,978-988-17472-9-7,,,,Unpriced,,,,,,Hong Kong,2009,"461 p. : col. ill., ports ; 30 cm.",Includes index,
2009-01068,ARTFIELD GROUP LIMITED Artfield Group Limited interim report 2008,雅域集團有限公司中期報告2008,English,,,Artfield Group Limited,,,,,,,,,,,Hong Kong,2008,"28, 28 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2009-01193,ARTHUR de astronaut,,English,,,Moon Face Publishing Limited,978-988-17284-2-5,,,USD,1.00,,,,,,Hong Kong,2008,Unpaged : col. ill. ; 26 cm.,Text in Dutch,
,ASIA literary review. No. 11,,English,,edited by Chris Wood,Spring 2009,,,,,,,,,,,,,"Hong Kong : Print Work Limited, c2009",,
2009-01378,ATTENTION spam,,English,,,Schoeni Art Gallery International Limited,978-988-99228-9-4,,pbk.,$,200.00,,,,,,Hong Kong,2008,143 p. : ill. (chiefly col.) ; 29 cm.,,
2009-02423,AUSTRALIAN political institutions,,English,Singleton Gwynneth ... [et al.],,Pearson Education Australia Pty Limited,978-1-4425-0408-0,,pbk.,,Unpriced,,,,,,French Forest,2009,"XVII, 492 p. : ill., port, map, chart ; 25 cm.",Includes index,9th ed.
2009-01071,B M INTELLIGENCE INTERNATIONAL LIMITED B M Intelligence International Limited interim report 2008,邦盟滙駿國際有限公司二零零八年中期業績報告,English,,,B M Intelligence International Limited,,,,,,,,,,,Hong Kong,2008,28 p. ; 21 cm.,Text in Chinese and English Unpriced (pbk.),
2009-02124,"THE BANK OF EAST ASIA, LIMITED The Bank of East Asia, Limited annual report 2008",東亞銀行有限公司年報2008,English,,,"The Bank of East Asia, Limited",,,,,,,,,,,Hong Kong,2009,"272 p. : col. ill., port, maps, charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
