serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2008-02442,AMUR-HEILONG River Basin reader,,English,,"edited by Eugene A. Simonov, Thomas D. Dahmer",Ecosystems Limited,978-988-17227-1-3,,pbk.,$,390.00,,,,,,Hong Kong,2008,"xiv, 426 p. : maps ; 26 cm.",,
2008-01760,HK tax planning : legal tax loopholes,,English,Deborah Annells,,LexisNexis,978-962-8937-69-1,,pbk.,$,300.00,,,,,,Hong Kong,2007,158 p. ; 23 cm.,Includes index Glossary,2nd ed.
2008-01776,The ANNOTATED ordinances of Hong Kong : Companies Ordinance (Cap. 32),公司條例(第32章),English,,"annotated by Roman Tomasic, E.L.G. Tyler ; edited by Calvinne Luis",LexisNexis,978-962-8972-36-4,,pbk.,$,2500.00,,,,,,Hong Kong,2007,"clx, 1536 p. ; 25 cm.",,2007 reissue
2008-01791,The ANNOTATED ordinances of Hong Kong : consolidated table of cases. Vol. 1 (A-L),,English,,edited by Calvinne Luis,LexisNexis,978-962-8972-34-0,,,$,2325.00,,,,,,Hong Kong,2007,"viii, 710 p. ; 25 cm.",,
2008-01792,The ANNOTATED ordinances of Hong Kong : consolidated table of cases. Vol. 2 (M-Z),,English,,edited by Calvinne Luis,LexisNexis,978-962-8972-35-7,,,$,2325.00,,,,,,Hong Kong,2007,640 p. ; 25 cm.,,
2008-01775,The ANNOTATED ordinances of Hong Kong : Conveyancing and Property Ordinance (Cap 219),物業轉易及財產條例(第219章),English,,annotated by Sarah Nield ; edited by Calvinne Luis,LexisNexis,978-962-8972-30-2,,pbk.,$,2500.00,,,,,,Hong Kong,2007,"cvi, 452 p. ; 25 cm.",,2007 reissue
2008-01766,The ANNOTATED ordinances of Hong Kong : Costs in Criminal Cases Ordinance (Cap 492),刑事案件訟費條例(第492章),English,,annotated by David C.Y. Leung,LexisNexis,978-962-8972-04-3,,pbk.,$,2000.00,,,,,,Hong Kong,2007,"xiv, 64 p. ; 25 cm.",,2007 reissue
2008-01768,The ANNOTATED ordinances of Hong Kong : Drug Trafficking (Recovery of Proceeds) Ordinance (Cap 405),販毒(追討得益)條例(第405章),English,,annotated by Simon N.M. Young,LexisNexis,978-962-8972-25-8,,pbk.,$,2000.00,,,,,,Hong Kong,2007,"xviii, 148 p. ; 25 cm.",,2007 reissue
2008-01764,The ANNOTATED ordinances of Hong Kong : Electronic Transactions Ordinance (Cap 553),電子交易條例(第553章),English,,annotated by Paul Stephenson ; edited by Calvinne Luis,LexisNexis,978-962-8972-16-6,,pbk.,$,3000.00,,,,,,Hong Kong,2007,"xii, 90 p. ; 25 cm.",,2007 reissue
2008-01772,The ANNOTATED ordinances of Hong Kong : Employees’ Compensation Ordinance (Cap 282),僱員補償條例(第282章),English,,annotated by Danny C.W. Tam ; edited by Calvinne Luis,LexisNexis,978-962-8972-18-0,,pbk.,$,2000.00,,,,,,Hong Kong,2007,"xliv, 332 p. ; 25 cm.",,2007 reissue
2008-01763,The ANNOTATED ordinances of Hong Kong : Homicide Ordinance (Cap 339),殺人罪行條例(第339章),English,,annotated by Amanda Whitfort ; edited by Calvinne Luis,LexisNexis,978-962-8937-97-4,,pbk.,$,2000.00,,,,,,Hong Kong,2007,"xii, 18 p. ; 25 cm.",,2007 reissue
2008-01765,The ANNOTATED ordinances of Hong Kong : Land Registration Ordinance (Cap 128),土地註冊條例(第128章),English,,annotated by Antonio M. Da Roza ; edited by Calvinne Luis,LexisNexis,978-962-8972-39-5,,pbk.,$,3000.00,,,,,,Hong Kong,2007,"xx, 92 p. ; 25 cm.",,2007 reissue
2008-01777,The ANNOTATED ordinances of Hong Kong : Stamp Duty Ordinance (Cap 117),印花稅條例(第117章),English,,annotated by Jung Soo Lee ; edited by Calvinne Luis,LexisNexis,978-962-8972-22-7,,pbk.,$,2500.00,,,,,,Hong Kong,2007,"xlvi, 744 p. ; 25 cm.",,
2008-01774,The ANNOTATED ordinances of Hong Kong : Telecommunications Ordinance (Cap 106),電訊條例(第106章),English,,annotated by P.Y. Lo ; edited by Calvinne Luis,LexisNexis,978-962-8972-41-8,,pbk.,$,3000.00,,,,,,Hong Kong,2007,"lxvi, 552 p. ; 25 cm.",,2007 reissue
2008-01767,The ANNOTATED ordinances of Hong Kong : Town Planning Ordinance (Cap 131),城市規劃條(第131章),English,,annotated by Anton Cooray ; edited by Calvinne Luis,LexisNexis,978-962-8972-19-7,,pbk.,$,2000.00,,,,,,Hong Kong,2007,"xx, 140 p. ; 25 cm.",,2007 reissue
2008-02451,APPROACH to music : music appreciation & reading. Book 1,,English,,"edited by Editorial Board, Hong Kong Music Publisher",Hong Kong Music Publisher,978-962-7452-42-3,,pbk.,,Unpriced,,,,,,Hong Kong,2007,30 p. : col. ill. ; 27 cm.,Text in Chinese and English,
2008-02453,APPROACH to music : music appreciation & reading. Book 2,,English,,"edited by Editorial Board, Hong Kong Music Publisher",Hong Kong Music Publisher,978-962-7452-43-0,,pbk.,,Unpriced,,,,,,Hong Kong,2007,30 p. : col. ill. ; 27 cm.,Text in Chinese and English,
2008-02455,APPROACH to music : music appreciation & reading. Book 3,,English,,"edited by Editorial Board, Hong Kong Music Publisher",Hong Kong Music Publisher,978-962-7452-44-7,,pbk.,,Unpriced,,,,,,Hong Kong,2007,38 p. : col. ill. ; 27 cm.,Text in Chinese and English,
2008-02450,APPROACH to music. Book 1,,English,,"edited by Editorial Board, Hong Kong Music Publisher",Hong Kong Music Publisher,978-962-7452-30-0,,pbk.,$,138.00,,,,,,Hong Kong,2007,112 p. : col. ill. ; 29 cm.,Text in Chinese and English,
2008-02452,APPROACH to music. Book 2,,English,,"edited by Editorial Board, Hong Kong Music Publisher",Hong Kong Music Publisher,978-962-7452-31-7,,pbk.,$,138.00,,,,,,Hong Kong,2007,110 p. : col. ill. ; 29 cm.,Text in Chinese and English,
2008-02454,APPROACH to music. Book 3,,English,,"edited by Editorial Board, Hong Kong Music Publisher",Hong Kong Music Publisher,978-962-7452-32-4,,pbk.,$,138.00,,,,,,Hong Kong,2007,111 p. ; 29 cm.,Text in Chinese and English,
2008-02438,The internment of Western Civilians under the Japanese 1941-1945 : a patchwork of internment,,English,Bernice Archer,,Hong Kong University Press,978-962-209-910-4,,pbk.,$,195.00,,,,,,Hong Kong,2008,"285 p. : ill., map ; 23 cm.",Includes index,
2008-00117,ARTFIELD GROUP LIMITED Artfield Group Limited interim report 2007,雅域集團有限公司中期報告2007,English,,,Artfield Group Limited,,,,,,,,,,,Hong Kong,2007,"24, 24 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2008-02063,"Goddesses, gods, sea and earth",女神‧神祇‧海與大地,English,Tanya Ashken,,Koru-hk.com Contemporary Art Gallery,978-988-98744-8-3,,pbk.,$,180.00,,,,,,Hong Kong,2008,unpaged : col. ill. ; 25 cm.,Text in Chinese and English,
2008-00754,ASIA and Pacific Alliance of YMCAs 17th general assembly. Workbook,,English,,edited by Yip Kok-choong,Asia and Pacific Alliance of YMCAs,978-988-97910-9-4,,pbk.,,Unpriced,,,,,,Hong Kong,2007,94 p. : ill. ; 26 cm.,,
2008-02065,ASIA literary review. Vol. 7,,English,,edited by Chris Wood,Print Work Limited,978-988-99669-4-2,,pbk.,$,99.00,,,,,,Hong Kong,2008,195 p. : col. ill. ; 21 cm.,,
2008-00632,ASIAN furniture,,English,,edited by Peter Moss,FormAsia Books Limited,978-962-7283-99-7,,,$,580.00,,,,,,Hong Kong,2007,308 p. : col. ill. ; 32 cm.,,
2008-02367,‘AT’ book,,English,,,Education Bureau,978-962-8967-49-0,,pbk.,,Unpriced,,,,,,Hong Kong,2007,7 p. : col. ill. ; 21 cm.,,
2008-02347,Persuasion,,English,"AUSTEN, Jane",Jane Austen ; retold by Derek Strange,Pearson Education Limited,978-1-4058-6949-2,,pbk.,,Unpriced,978-1-4058-7864-7,,audio-CD,,Unpriced,Essex,2008,"vi, 44 p. : ill. ; 20 cm.",+ 1 audio-CD (Penguin readers. Level 2),
2008-00557,Pride and prejudice,,English,"AUSTEN, Jane",Jane Austen ; retold by Evelyn Attwood,Pearson Education Limited,978-1-4058-6246-2,,pbk.,,Unpriced,978-1-4058-8004-6,,audio-CD,,Unpriced,Essex,2008,"ix, 137 p. : ill. ; 20 cm.",+ 4 audio-CDs (Penguin readers. Level 5),
2008-01988,Pride and prejudice,,English,Jane Austen,,Oxford University Press (China) Limited,978-0-19-545562-5,,pbk.,$,54.00,,,,,,Hong Kong,2007,124 p. : ill. ; 20 cm.,Oxford progressive English readers. Level 5,2nd ed.
2008-00451,Sense and sensibility,,English,"AUSTEN, Jane",Jane Austen ; retold by Cherry Gilchrist,Pearson Education Limited,978-1-4058-8203-3,,pbk.,,Unpriced,978-1-4058-7935-4,,audio-CD,,Unpriced,Essex,2008,"vii, 46 p. : ill. ; 20 cm.",+ 1 audio-CD (Penguin readers. Level 3),
2008-02480,The AUTHORISED Hong Kong court of final appeal reports 2006. Vol. 9. edited by Abdul Azeem Ali,,English,,,Sweet & Maxwell Asia,978-962-661-319-1,,,,Unpriced,,,,,,Hong Kong,2007,"xcii, 911 p. ; 25 cm.",Text partially in Chinese,
2008-02479,The AUTHORISED Hong Kong law reports & digest 2007. Vol. 3,,English,,edited by Abdul Azeem Ali,Sweet & Maxwell Asia,978-962-661-315-3,,,,Unpriced,,,,,,Hong Kong,2007,"lxvii, 956 p. ; 25 cm.",Text partially in Chinese,
2008-00115,B M INTELLIGENCE INTERNATIONAL LIMITED B M Intelligence International Limited interim report 2007,邦盟滙駿國際有限公司中期業績報告2007,English,,,B M Intelligence International Limited,,,,,,,,,,,Hong Kong,2007,24 p. ; 21 cm.,Text in Chinese and English Unpriced (pbk.),
2008-00017,Hong Kong legal research : methods and skills,,English,John Bahrij,,Sweet & Maxwell Asia,978-962-661-321-4,,pbk.,,Unpriced,,,,,,Hong Kong,2007,133 p. ; 24 cm.,Includes index,
2008-01804,BASIS Point 2008 annual : helping you analyse the wild ride across asset classes,,English,,,Reuters Basis Point Publishing Limited,978-988-97088-6-3,,pbk.,,Unpriced,,,,,,Hong Kong,2008,"122 p. : col. ill., charts ; 29 cm.",,
2008-00545,"BATES, H. E. The darling buds of May",,English,,H.E. Bates ; retold by Annette Keen,Pearson Education Limited,978-1-4058-6769-6,,pbk.,,Unpriced,978-1-4058-8546-1,,audio-CD,,Unpriced,Essex,2008,"v, 57 p. : col. ill. ; 20 cm.",+ 2 audio-CDs (Penguin readers. Level 3),
2008-00619,BBC active GCSE bitesize GCSE additional science (AQA),,English,,edited by Nigel Saunders,Pearson Education Limited,978-1-4066-3903-2,,pbk.,,Unpriced,,,,,,Essex,2008,138 p. : col. ill. ; 28 cm.,BBC active,
2008-00620,BBC active GCSE bitesize GCSE science (AQA),,English,,edited by Nigel Saunders,Pearson Education Limited,978-1-4066-3904-9,,pbk.,,Unpriced,,,,,,Essex,2008,138 p. : col. ill. ; 28 cm.,BBC active,
2008-00983,A history of Britain,,English,Fiona Beddall,,Pearson Education Limited,978-1-4058-8187-6,,pbk.,,Unpriced,978-1-4058-7908-8,,audio-CD,,Unpriced,Essex,2008,"v, 41 p. : ill. (some col.), maps ; 20 cm.",+ 1 audio-CD (Penguin readers. Level 3),
2008-02209,BEIJING portrait of a city,,English,,"compiled by Alexandra Pearson, Lucy Cavender",The Middle Kingdom Bookworm Limited,978-962-217-803-8,,pbk.,$,240.00,,,,,,Hong Kong,2008,170 p. : ill. ; 26 cm.,,
2008-02340,Advanced expert CAE coursebook,,English,"Jan Bell, Roger Gower with Drew Hyde",,Pearson Education Limited,978-1-4058-8079-4,,pbk.,,Unpriced,,,,,,Essex,2008,207 p. : col. ill. ; 30 cm.,+ 1 audio-CD,New ed.
2008-00543,Jaws,,English,"BENCHLEY, Peter",Peter Benchley ; retold by Keiran McGovern,Pearson Education Limited,978-1-4058-6952-2,,pbk.,,Unpriced,978-1-4058-7844-9,,audio-CD,,Unpriced,Essex,2008,"iv, 40 p. : ill. ; 20 cm.",+ 1 audio-CD (Penguin readers. Level 2),
2008-01835,Hong Kong’s breakfast epiphany,,English,Ardyn Bernoth,,PPP Company Limited,978-988-17026-6-1,,,$,230.00,,,,,,Hong Kong,2008,140 p. : col. ill. ; 31 cm.,,
2008-02369,Forward to Beijing! : a guide to the Summer Olympics,,English,Verner Bickley,,Proverse Hong Kong,978-988-99668-3-6,,pbk.,$,152.00,,,,,,Hong Kong,2008,"xvi, 244 p. : ill. ; 21 cm.",,
2008-02489,Interact with information technology. 1,,English,"Roland Birbal, Michele Taylor",,Pearson Education Limited,978-1-4058-7007-8,,pbk.,,Unpriced,,,,,,Essex,2008,136 p. : col. ill. ; 28 cm.,+ 1 audio-CD Includes index Glossary,
2008-00456,"BLACKMORE, R. D. Lorna Doone",,English,,R.D. Blackmore ; retold by Mary Tomalin,Pearson Education Limited,978-1-4058-6514-2,,pbk.,,Unpriced,978-1-4058-7966-8,,audio-CD,,Unpriced,Essex,2008,"ix, 69 p. : col. ill. ; 20 cm.",+ 2 audio-CDs (Penguin readers. Level 4),
2008-02066,The BLESSINGS of sweet daily living with the Lord testimonies of spiritual discipline. 11,,English,,edited by The Literary Team of the Church of God in Vancouver,Life’s Spring Publisher Limited,978-962-313-235-0,,pbk.,$,10.00,,,,,,Hong Kong,2007,35 p.; 22 cm.,,
2008-00102,Psycho,,English,"BLOCH, Robert",Robert Bloch ; retold by Chris Rice,Pearson Education Limited,978-1-4058-7689-6,,pbk.,,Unpriced,978-1-4058-7928-6,,CD-Rom,,Unpriced,Essex,2008,"v, 46 p. : ill. ; 20 cm.",+ 1 CD-Rom (Penguin readers. Level 3),
2008-00446,Dante’s peak,,English,"BOHEM, Leslie",written by Leslie Bohem ; retold by Robin Waterfield,Pearson Education Limited,978-1-4058-6973-7,,pbk.,,Unpriced,978-1-4058-7833-3,,audio-CD,,Unpriced,Essex,2008,"v, 45 p. : ill., map ; 20 cm.",Penguin readers. Level 2,
2008-00532,BRAZIL : a rising star in Latin America,,English,,compiled by Hong Kong Trade Development Council,Hong Kong Trade Development Council. Research Department,,,,,,,,,,,Hong Kong,2007,61 p. : col. charts ; 26 cm.,Trade research) $100.00 (pbk.,
2008-02558,Business studies. AS & A2,,English,"Barry Brindley, Martin Buckley",,Pearson Education Limited,978-1-4058-2124-7,,pbk.,,Unpriced,,,,,,Essex,2008,"192 p. : ill., charts ; 30 cm.",(Revision express) Includes index,
2008-00546,Jane Eyre,,English,"BRONTE, Charlotte",Charlotte Bronte ; retold by Ann Ward,Pearson Education Limited,978-1-4058-7663-6,,pbk.,,Unpriced,978-1-4058-7913-2,,audio-CD,,Unpriced,Essex,2008,"vii, 45 p. : ill. ; 20 cm.",+ 1 audio-CD (Penguin readers. Level 3),
2008-01990,Wuthering heights,,English,Emily Bronte,,Oxford University Press (China) Limited,978-0-19-545561-8,,pbk.,$,54.00,,,,,,Hong Kong,2007,124 p. : ill. ; 20 cm.,Oxford progressive English readers. Level 5,2nd ed.
2008-02813,The story of the internet,,English,Stephen Bryant,,Pearson Education Limited,978-1-4058-8252-1,,pbk.,,Unpriced,978-1-4058-8013-8,,audio-CD,,Unpriced,Essex,2008,77 p. ; 20 cm.,+ 2 audio-CD (Penguin readers. Level 5),
2008-00559,BTEC national travel and tourism. Book 3,,English,Derek Brickell ... [et al.],,Pearson Education Limited,978-1-4058-6809-9,,pbk.,,Unpriced,,,,,,Essex,2008,"200 p. : col. ill., maps, charts ; 30 cm.",,
2008-00454,The thirty-nine steps,,English,"BUCHAN, John",John Buchan ; retold by Roland John,Pearson Education Limited,978-1-4058-6234-9,,pbk.,,Unpriced,978-1-4058-7940-8,,audio-CD,,Unpriced,Essex,2008,"vii, 84 p. : ill. ; 20 cm.",+ 2 audio-CDs (Penguin readers. Level 3),
2008-02351,Billy Elliot,,English,"BURGESS, Melvin",Melvin Burgess ; retold by Karen Holmes,Pearson Education Limited,978-1-4058-8176-0,,pbk.,,Unpriced,978-1-4058-7888-3,,audio-CD,,Unpriced,Essex,2008,"v, 56 p. : ill. ; 20 cm.",+ 2 audio-CD (Penguin readers. Level 3),
2008-01780,BUTTERWORTHS Hong Kong probate administration and trustee handbook,,English,,annotated by Bobby K.Y. Wong ; edited by Calvinne Luis,LexisNexis,978-962-8937-59-2,,pbk.,$,950.00,,,,,,Hong Kong,2007,"xcvi, 756 p. ; 24 cm.",,2nd ed.
2008-00536,CAMBODIA : a small market with manufacturing potential,,English,,compiled by Hong Kong Trade Development Council,Hong Kong Trade Development Council. Research Department,,,,,,,,,,,Hong Kong,2007,57 p. : col. charts ; 26 cm.,Trade research) $100.00 (pbk.,
2008-02782,CARRY WEALTH HOLDINGS LIMITED Carry Wealth Holdings Limited discloseable transaction disposal of property,恒富控股有限公司須予披露交易出售物業,English,,,Carry Wealth Holdings Limited,,,,,,,,,,,Hong Kong,2008,"12, 12 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2008-02144,CENSUS AND STATISTICS DEPARTMENT Annual report on the consumer price index 2007,二零零七年消費物價指數年報,English,,,Census and Statistics Department. Consumer Price Index Section,,,,,,,,,,,Hong Kong,2008,"iv, 87 p. : charts ; 30 cm.",Text in Chinese and English $80.00 (pbk.),
2008-02289,CENSUS AND STATISTICS DEPARTMENT 2007 gross domestic product,,English,,,Census and Statistics Department,,,,,,,,,,,Hong Kong,2008,157 p. ; 30 cm.,Unpriced (pbk.),
2008-02796,CENSUS AND STATISTICS DEPARTMENT Hong Kong merchandise trade statistics annual supplement 2007 : country by commodity - domestic exports and reexports,香港商品貿易統計二零零七年周年附刊:按國家及貨品劃分-港產品出口及轉口,English,,,Census and Statistics Department. Trade Analysis Section,,,,,,,,,,,Hong Kong,2007,"XVIII, 885 p. ; 30 cm.",Text in Chinese and English $363.00 (pbk.),
2008-02795,CENSUS AND STATISTICS DEPARTMENT Hong Kong merchandise trade statistics annual supplement 2007 : country by commodity - imports,香港商品貿易統計二零零七年周年附刊:按國家及貨品劃分-進口,English,,,Census and Statistics Department. Trade Analysis Section,,,,,,,,,,,Hong Kong,2007,"XVIII, 475 p. ; 30 cm.",Text in Chinese and English $363.00 (pbk.),
2008-00977,"CENSUS AND STATISTICS DEPARTMENT Report on 2006 annual survey of building, construction and real estate sectors",二零零六年屋宇建築、建造及地產業按年統計調查報告,English,,,Census and Statistics Department. Construction and Miscellaneous Services Statistics Section,,,,,,,,,,,Hong Kong,2007,"iv, 48 p. : charts ; 30 cm.",Text in Chinese and English $90.00 (pbk.),
2008-00978,CENSUS AND STATISTICS DEPARTMENT Report on 2006 annual survey of industrial production,二零零六年工業生產按年統計調查報告,English,,,Census and Statistics Department. Industrial Production and Tourism Statistics Section,,,,,,,,,,,Hong Kong,2007,47 p. : charts ; 30 cm.,Text in Chinese and English $80.00 (pbk.),
2008-00082,CENSUS AND STATISTICS DEPARTMENT Report on 2006 annual survey of transport and related services,二零零六年運輸及有關服務按年統計調查報告,English,,,Census and Statistics Department. Logistics and Producer Prices Statistics Section,,,,,,,,,,,Hong Kong,2007,"ii, 39 p. : charts ; 30 cm.",Text in Chinese and English $43.00 (pbk.),
2008-01878,"CENSUS AND STATISTICS DEPARTMENT Report on 2006 annual survey of storage, communication, banking, financing, insurance and business services",二零零六年倉庫業、通訊業、銀行業、財務業、保險業及商用服務業按年統計調查報告,English,,,Census and Statistics Department. Business Services Statistics Section,,,,,,,,,,,Hong Kong,2007,"iv, 76 p. ; 30 cm.",Text in Chinese and English $108.00 (pbk.),
2008-00529,CEPA V : opportunities for Hong Kong,,English,,compiled by Hong Kong Trade Development Council,Hong Kong Trade Development Council. Research Department,,,,,,,,,,,Hong Kong,2007,31 p. ; 30 cm.,TDC research) $30.00 (pbk.,
2008-00106,Cinderella man,,English,"CERASINI, Marc",written by Marc Cerasini ; retold by Paul Shipton,Pearson Education Limited,978-1-4058-8208-8,,pbk.,,Unpriced,978-1-4058-7947-7,,CD-Rom,,Unpriced,Essex,2008,"vii, 78 p. : ill. ; 20 cm.",+ 3 CD-Roms (Penguin readers. Level 4),
2008-02409,CHALLENGES student’s book. 3,,English,Michael Harris ... [et al.],,Pearson Education Limited,978-1-4058-6816-7,,pbk.,,Unpriced,,,,,,Essex,2008,112 p. : col. ill. ; 28 cm.,+ 1 audio-CD,Middle East ed.
2008-02341,CHALLENGES students’ book. 4,,English,Michael Harris ... [et al.],,Pearson Education Limited,978-1-4058-8995-7,,pbk.,,Unpriced,,,,,,Essex,2008,96 p. : col. ill. ; 30 cm.,+ 1 audio-CD,Middle East ed.
2008-02342,CHALLENGES students’ book. 5,,English,Michael Harris ... [et al.],,Pearson Education Limited,978-1-4058-8996-4,,pbk.,,Unpriced,,,,,,Essex,2008,96 p. : col. ill. ; 30 cm.,+ 1 audio-CD,Middle East ed.
2008-00640,King Hui : the man who owned all the opium in Hong Kong,,English,Jonathan Chamberlain,,Blacksmith Books,978-988-99799-8-0,,pbk.,$,120.00,,,,,,Hong Kong,2007,348 p. : ill. ; 22 cm.,,
2008-00227,"CHAN, H. M. New progress in certificate mathematics : examination guide",,English,H.M. Chan,,Hong Kong Educational Publishing Company,,,,,,,,,,,Hong Kong,2007,"74 p. : ill., charts ; 19 cm.",Unpriced (pbk.),
2008-00225,"CHAN, H. M. New progress in certificate mathematics : mock exam papers for HKCEE",,English,H.M. Chan,,Hong Kong Educational Publishing Company,978-988-200-783-3,,pbk.,,Unpriced,,,,,,Hong Kong,2007,"various pagings: ill., charts ; 27 cm.",,Revised ed.
