serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2012-02490,2010 manpower survey report : import,,English,export and wholesale trades =出入口及批發業二零一零年人力調查報告,,"Vocational Training Council, Import/ Export/Wholesale Trades Training Board",,,,,,,,,,,Hong Kong,2011,218 p. : charts ; 30 cm.,Glossary Text in Chinese and English Unpriced (pbk.),
2012-00515,30-MINUTE English workout : grammar enhancement practice. 1A,30分鐘全掌握:英語文法強化訓練. 1A,English,,,Popular Learning,978-988-8017-70-6,,pbk.,$,45.00,,,,,,Hong Kong,2011,104 p. : ill. ; 29 cm.,Text partially in Chinese,
2012-02711,30-MINUTE English workout : grammar enhancement practice. 1B,30分鐘全掌握:英語文法強化訓練. 1B,English,,,Popular Learning,978-988-8017-76-8,,pbk.,$,45.00,,,,,,Hong Kong,2011,104 p. : ill. ; 29 cm.,Text partially in Chinese,
2012-00516,30-MINUTE English workout : grammar enhancement practice. 2A,30分鐘全掌握:英語文法強化訓練. 2A,English,,,Popular Learning,978-988-8017-71-3,,pbk.,$,45.00,,,,,,Hong Kong,2011,104 p. : ill. ; 29 cm.,Text partially in Chinese,
2012-02712,30-MINUTE English workout : grammar enhancement practice. 2B,30分鐘全掌握:英語文法強化訓練. 2B,English,,,Popular Learning,978-988-8017-77-5,,pbk.,$,45.00,,,,,,Hong Kong,2011,104 p. : ill. ; 29 cm.,Text partially in Chinese,
2012-00517,30-MINUTE English workout : grammar enhancement practice. 3A,30分鐘全掌握:英語文法強化訓練. 3A,English,,,Popular Learning,978-988-8017-72-0,,pbk.,$,45.00,,,,,,Hong Kong,2011,104 p. : ill. ; 29 cm.,Text partially in Chinese,
2,30-MINUTE English workout : grammar enhancement practice. 3B,30分鐘全掌握:英語文法強化訓練. 3B,English,,,Popular Learning,,,,,,,,,,,Hong Kong,2011,104 p. : ill. ;,,
2012-00518,cm. Text partially in Chinese ISBN 978-988-8017-78-2 (pbk.) : $45.00 (2012-02713) 9 30-MINUTE English workout : grammar enhancement practice. 4A,30分鐘全掌握:英語文法強化訓練. 4A,English,,,Popular Learning,978-988-8017-73-7,,pbk.,$,45.00,,,,,,Hong Kong,2011,104 p. : ill. ; 29 cm.,Text partially in Chinese,
2012-02714,30-MINUTE English workout : grammar enhancement practice. 4B,30分鐘全掌握:英語文法強化訓練. 4B,English,,,Popular Learning,978-988-8017-79-9,,pbk.,$,45.00,,,,,,Hong Kong,2011,104 p. : ill. ; 29 cm.,Text partially in Chinese,
2012-00519,30-MINUTE English workout : grammar enhancement practice. 5A,30分鐘全掌握:英語文法強化訓練. 5A,English,,,Popular Learning,978-988-8017-74-4,,pbk.,$,45.00,,,,,,Hong Kong,2011,104 p. : ill. ; 29 cm.,Text partially in Chinese,
2012-02715,30-MINUTE English workout : grammar enhancement practice. 5B,30分鐘全掌握:英語文法強化訓練. 5B,English,,,Popular Learning,978-988-8017-80-5,,pbk.,$,45.00,,,,,,Hong Kong,2011,104 p. : ill. ; 29 cm.,Text partially in Chinese,
2012-00520,30-MINUTE English workout : grammar enhancement practice. 6A,30分鐘全掌握:英語文法強化訓練. 6A,English,,,Popular Learning,978-988-8017-75-1,,pbk.,$,45.00,,,,,,Hong Kong,2011,104 p. : ill. ; 29 cm.,Text partially in Chinese,
2012-02716,30-MINUTE English workout : grammar enhancement practice. 6B,30分鐘全掌握:英語文法強化訓練. 6B,English,,,Popular Learning,978-988-8017-81-2,,pbk.,$,45.00,,,,,,Hong Kong,2011,104 p. : ill. ; 29 cm.,Text partially in Chinese,
2012-02208,"7TH International Symposium on heating, ventilation and air Conditioning : proceedings of ISHVAC 2011, November 6-9, 2011, Shanghai, China. Volume I",,English,,edited by Xu Zhang ... [et al.],The University of Hong Kong. Department of Mechanical Engineering,978-962-85138-0-2,,set,,Unpriced,,,,,,Hong Kong,2011,"xvi, 349, I p. : ill. ; 30 cm.",Includes bibliographical references and index,
2012-02209,"7TH International Symposium on heating, ventilation and air Conditioning : proceedings of ISHVAC 2011, November 6-9, 2011, Shanghai, China. Volume II",,English,,edited by Xu Zhang ... [et al.],The University of Hong Kong. Department of Mechanical Engineering,978-962-85138-0-2,,set,,Unpriced,,,,,,Hong Kong,2011,"xvi, 350-681, I p. : ill. ; 30 cm.",Includes bibliographical references and index,
2012-02210,"7TH International Symposium on heating, ventilation and air Conditioning : proceedings of ISHVAC 2011, November 6-9, 2011, Shanghai, China. Volume III",,English,,edited by Xu Zhang ... [et al.],The University of Hong Kong. Department of Mechanical Engineering,978-962-85138-0-2,,set,,Unpriced,,,,,,Hong Kong,2011,"xvi, 682-1020, I p. : ill. ; 30 cm.",Includes bibliographical references and index,
2012-02211,"7TH International Symposium on heating, ventilation and air Conditioning : proceedings of ISHVAC 2011, November 6-9, 2011, Shanghai, China. Volume IV",,English,,edited by Xu Zhang ... [et al.],The University of Hong Kong. Department of Mechanical Engineering,978-962-85138-0-2,,set,,Unpriced,,,,,,Hong Kong,2011,"xvi, 1021-1359, I p. : ill. ; 30 cm.",Includes bibliographical references and index,
2012-01990,A8 DIGITAL MUSIC HOLDINGS LIMITED A8 Digital Music Holdings Limited annual report 2009,A8電媒音樂控股有限公司2009年報,English,,,A8 Digital Music Holdings Limited,,,,,,,,,,,Hong Kong,2010,"122 p. : col. ill., col. charts, col. ports ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2012-02142,ABC. 1,,English,,,Crown Readers Limited,978-988-99689-2-2,,pbk.,$,10.00,,,,,,Hong Kong,2011,1 wall chart : col. ; 56 x 44 cm.,Cactus books,
2012-02141,ABC. 2,,English,,,Crown Readers Limited,978-988-99689-3-9,,pbk.,$,10.00,,,,,,Hong Kong,2011,1 wall chart : col. ; 56 x 44 cm.,Cactus books,
2012-02140,ABC. 3,,English,,,Crown Readers Limited,978-988-99689-4-6,,pbk.,$,10.00,,,,,,Hong Kong,2011,1 wall chart : col. ; 56 x 44 cm.,Cactus books,
2012-04159,ABERDEEN KAI-FONG WELFARE ASSOCIATION SOCIAL SERVICE CENTRE Aberdeen Kai-Fong Welfare Association Social Service Centre annual report 2010- 201,香港仔街坊福利會社會服務中心年報2010-2011,English,,,Aberdeen Kai- Fong Welfare Association Social Service Centre,,,,,,,,,,,Hong Kong,2012,"90 p. : col. ill., col. charts ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2012-00304,"AHN, SooJeong The Pusan International Film Festival, South Korean cinema and globalization",,English,SooJeong Ahn,,Hong Kong University Press,978-988-8083-59-6,,pbk.,$,195.00,978-988-8083-58-9,,,$,Unpriced,Hong Kong,2012,"x, 220 p. ; 23 cm.",(TransAsia : screen cultures) Includes bibliographical references and index,
2012-01955,ALPHABETS. A-I,,English,,,Ease Mart Publishing Limited,978-988-19611-6-7,,,USD,6.99,,,,,,Hong Kong,2011,unpaged : col. ill. ; 13 cm.,,
2012-01956,ALPHABETS. J-R,,English,,,Ease Mart Publishing Limited,978-988-19611-4-3,,,USD,6.99,,,,,,Hong Kong,2011,unpaged : col. ill. ; 13 cm.,,
2012-01957,ALPHABETS. S-Z,,English,,,Ease Mart Publishing Limited,978-988-19611-5-0,,,USD,6.99,,,,,,Hong Kong,2011,unpaged : col. ill. ; 13 cm.,,
2012-03285,AMAZING English. Phrasal verbs. Activity book 1,,English,Domingo Cheng,,Junius Publications,978-988-18963-8-4,,pbk.,$,72.00,,,,,,Hong Kong,2012,108 p. : ill. ; 26 cm.,+ 1 key Text in Chinese and English,
2012-03286,AMAZING English. Phrasal verbs. Activity book 2,,English,Domingo Cheng,,Junius Publications,978-988-18963-9-1,,pbk.,$,72.00,,,,,,Hong Kong,2012,108 p. : ill. ; 26 cm.,+ 1 key Text in Chinese and English,
2012-03287,AMAZING English. Phrasal verbs. Guidebook,,English,Domingo Cheng,,Junius Publications,978-988-18963-7-7,,pbk.,$,132.00,,,,,,Hong Kong,2012,351 p. : ill. ; 26 cm.,Includes index Text in Chinese and English,
2012-03484,AMITY’S founding recollections from abroad,,English,,"edited by Ewing W. Carroll, Oliver Engelen, Beate Engelen",The Amity Foundation Hong Kong Limited,978-988-98832-5-6,,pbk.,,Unpriced,,,,,,Hong Kong,2010,99 p. ; 21 cm.,,
2012-02105,AMS PUBLIC TRANSPORT HOLDINGS LIMITED AMS Public Transport Holdings Limited interim report 2011/2012,進智公共交通控股有限公司中期報告書2011,English,2012,,AMS Public Transport Holdings Limited,,,,,,,,,,,Hong Kong,2011,"34, 34 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2012-00202,"AMS PUBLIC TRANSPORT HOLDINGS LIMITED AMS Public Transport Holdings Limited major transaction acquisition of 100% interest in Central Maxicab Limited, 26th October 201","進智公共交通控股有限公司主要交易收購中環專線小巴有限公司之全部權益,二零一一年十月二十六日",English,,,AMS Public Transport Holdings Limited,,,,,,,,,,,Hong Kong,2011,"59, 59 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2012-03623,ANIMAL myths by Hong Kong kids,,English,,edited by Judy Butler,"Butler, Judy Joanne",978-988-18208-2-2,,,$,98.00,,,,,,Hong Kong,2012,unpaged : col. ill. ; 22 cm.,,
2012-01954,ANIMAL’S world,,English,,,Ease Mart Publishing Limited,978-988-19611-7-4,,,USD,5.99,,,,,,Hong Kong,2011,unpaged : col. ill. ; 14 cm.,,
2012-03774,ANNOTATED ordinances of Hong Kong : Bankruptcy Ordinance (Cap 6),破產條例(第6章),English,,"annotated by Stephen Chan SK, Anthony Chow PJ ; legal edited by Kenneth Liang",LexisNexis,978-988-8111-81-7,,pbk.,$,2650.00 (set),,,,,,Hong Kong,2011,"lxxii, 765 p. ; 25 cm.",,
2012-04016,ANZ treasury perspectives 2012,,English,,edited by Shweta Moogimane,PPP Company Limited,978-988-15696-7-7,,pbk.,,Unpriced,,,,,,Hong Kong,2012,"188 p. : ill., charts, col. ports ; 25 cm.",Glossary,
2012-04141,APAC RESOURCES LIMITED APAC Resources Limited interim report 201,亞太資源有限公司中期報告2011,English,,,APAC Resources Limited,,,,,,,,,,,Hong Kong,2012,"50, 50 p. : col. ill., col. chart, col. map ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2012-02027,APD Asia-Pacific design. No. 7,亞太設計年鑒. No. 7,English,,edited by Shaoqiang Wang,Sandu Publishing Company Limited,978-988-15703-7-6,,,,Unpriced,,,,,,Hong Kong,2011,464 p. : col. ill. ; 30 cm.,Text in Chinese and English,
2012-02504,APPETITE for design : eat me : product. packaging. art. branding. interior,,English,,edited by Viction:workshop Limited.,Viction:workshop Limited,978-988-19438-5-9,,pbk.,$,248.00,,,,,,Hong Kong,2011,255 p. : col. ill. ; 26 cm.,Includes bibliographical references,
2012-00014,"ARCHBOLD Hong Kong 2012 : criminal law, pleading, evidence and practice",,English,,edited by Grossman Clive,Thomson Reuters Hong Kong Limited,978-962-661-429-7,,,$,7000.00,,,,,,Hong Kong,2011,"cclxx, 2572 p. ; 25 cm.",Includes index,
2012-04166,ARENA : Taiwan interim architecture,台灣售樓處設計,English,,edited by Wang Shaoqing,Sandu Publishing Company Limited,978-988-15704-3-7,,,,Unpriced,,,,,,Hong Kong,2012,"336 p. : chiefly ill. (chiefly col.), plans ; 30 cm.",Text partially in simplified Chinese,
2012-02115,ARTINI CHINA COMPANY LIMITED Artini China Company Limited interim report 2011-12,雅天妮中國有限公司中期報告2011-12,English,,,Artini China Company Limited,,,,,,,,,,,Hong Kong,2011,"28, 28 p. ; ill. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2012-00568,AS we see it : Hong Kong stories,,English,,"edited by Ryan Harper, Danielle Lowry",Hong Kong Writers Circle,978-988-98366-8-9,,pbk.,$,120.00,,,,,,Hong Kong,2011,267 p. ; 21 cm.,,
2012-04084,ASIA asset management,,English,,,Asia-Pacific Media Limited,,,,,,,,,,,Hong Kong,09.2011,63 p. : col. ill. ; 28 cm.,11 issues per year ISSN 1029-5305 : USD1550.00 (year),
,ASIA literary review. No. 22,,English,,edited by Martin Alexander,Winter 201,,,,,,,,,,,,,"Hong Kong : Print Work Limited, 2012",,
2012-03343,"ASIAHORECA : guide to hotel, restaurant and catering products & services 2011-2012",酒店與餐飲採購指南:亞洲版2011-2012,English,,,Marshall Cavendish Business Information (Hong Kong) Limited,978-988-15319-1-9,,pbk.,$,500.00,,,,,,Hong Kong,2011,848 p. : col. ill. ; 30 cm.,Includes index Text in simplified Chinese and English,
2012-00576,ASSOCIATION of Art and Design International : members portfolio,,English,,,Association of Art & Design (International),978-988-17429-5-7,,pbk.,$,100.00,,,,,,Hong Kong,2011,[48] p. : col. ill. ; 28 cm.,Text partially in Chinese,
2012-03760,ATKIN’S court forms Hong Kong. Issue 23,,English,,legal edited by Choo Wey Wun,LexisNexis,978-988-8111-87-9,,loose-leaf,$,1800.00,,,,,,Hong Kong,2011,various paging : 24 cm.,,
2012-02427,"ATKINS, Gary L. Imagining gay paradise : Bali, Bangkok, and cyber-Singapore",,English,Gary L. Atkins,,Hong Kong University Press,978-988-8083-23-7,,,$,395.00,,,,,,Hong Kong,2012,"x, 316 p. : ill. ; 24 cm.",Includes bibliographical references and index,
2012-03320,Custody and correction : development of Hong Kong’s penal system,,English,Au-Yeung Sauching ... [et al.],,Hong Kong Correctional Services Department,978-988-15141-2-7,,,,Unpriced,,,,,,Hong Kong,2011,168 p. : col. ill. ; 26 x 29 cm.,Includes bibliographical references Text partially in Chinese,
2012-00011,AUTHORISED Hong Kong law reports & digest 2011. Vol. 2,,English,,edited by Abdul Azeem Ali,Thomson Reuters Hong Kong Limited,978-962-661-423-5,,,,Unpriced,,,,,,Hong Kong,2011,"lxxi, 1105 p. ; 25 cm.",Text partially in Chinese,
2012-00012,AUTHORISED Hong Kong law reports & digest 2011. Vol. 3,,English,,edited by Abdul Azeem Ali,Thomson Reuters Hong Kong Limited,978-962-661-424-2,,,,Unpriced,,,,,,Hong Kong,2011,"liv, 840 p. ; 25 cm.",Text partially in Chinese,
2012-00013,AUTHORISED Hong Kong law reports & digest 2011. Vol. 4,,English,,edited by Abdul Azeem Ali,Thomson Reuters Hong Kong Limited,978-962-661-425-9,,,,Unpriced,,,,,,Hong Kong,2011,"xlix, 727 p. ; 25 cm.",Text partially in Chinese,
2012-01881,BARBIE. And the diamond castle,,English,Kristen L. Depken,,Active Minds Limited,978-988-8138-01-2,,,$,28.00,,,,,,Hong Kong,2010,32 p. : col. ill. ; 18 cm.,Learning ladder. 2,
2012-01883,BARBIE. And the magic of Pegasus,,English,Tennant Redbank,,Active Minds Limited,978-988-8138-05-0,,,$,28.00,,,,,,Hong Kong,2010,32 p. : col. ill. ; 18 cm.,Learning ladder. 2,
2012-01879,BARBIE. And the three musketeers,,English,Mary Man-Kong,,Active Minds Limited,978-988-8138-09-8,,,$,28.00,,,,,,Hong Kong,2010,31 p. : col. ill. ; 18 cm.,Learning ladder. 2,
2012-01880,BARBIE. As the island princess,,English,Daisy Alberto,,Active Minds Limited,978-988-8138-13-5,,,$,28.00,,,,,,Hong Kong,2010,30 p. : col. ill. ; 18 cm.,Learning ladder. 2,
2012-01884,BARBIE. Fairytopia,,English,Diane Wright Landolf,,Active Minds Limited,978-988-8138-25-8,,,$,28.00,,,,,,Hong Kong,2010,32 p. : col. ill. ; 18 cm.,Learning ladder. 2,
2012-01877,BARBIE. In the 12 dancing princesses,,English,Tennant Redbank,,Active Minds Limited,978-988-8138-17-3,,,$,28.00,,,,,,Hong Kong,2010,26 p. : col. ill. ; 18 cm.,Learning ladder. 2,
2012-01882,BARBIE. Mariposa,,English,Christy Webster,,Active Minds Limited,978-988-8138-29-6,,,$,28.00,,,,,,Hong Kong,2010,32 p. : col. ill. ; 18 cm.,Learning ladder. 2,
2012-01878,BARBIE. Thumbelina,,English,Diane Wright Landolf,,Active Minds Limited,978-988-8138-33-3,,,$,28.00,,,,,,Hong Kong,2010,29 p. : col. ill. ; 18 cm.,Learning ladder. 2,
2012-02760,BASIS point 2012 annual,,English,,edited by Gavin Stafford,Thomson Reuters Hong Kong Limited,978-988-97088-0-1,,pbk.,,Unpriced,,,,,,Hong Kong,2012,"120 p. : col. ill., col. charts ; 29 cm.",,
2012-01493,"BEAT HKDSE English language. Paper 3, Listening & integrated skills. Set 6, Equality",,English,Derek Liu,,Sharp Profits Limited,978-988-18158-0-4,,pbk.,$,48.00,,,,,,Hong Kong,2012,35 p. ; 25 cm.,+ 1 data file + 1 CD,
2012-03803,Essential gym workout guide and log book,,English,Susan Bell,,Beldon Press,978-988-15188-1-1,,sp,$,120.00,,,,,,Hong Kong,2011,unpaged ; 18 cm.,,
2012-02024,BIG brand theory,,English,,edited by Shaoqiang Wang,Sandu Publishing Company Limited,978-988-15703-4-5,,,,Unpriced,,,,,,Hong Kong,2011,255 p. : col. ill. ; 28 cm.,Includes index,
2012-01747,BIOLOGY : mock papers for HKDSEE. For combined science,,English,"Lam Man Yee, Chan Yu Hei",,Times Publishing (Hong Kong) Limited,978-988-8129-11-9,,sp,,Unpriced,,,,,,Hong Kong,2011,"various paging : ill., charts ; 28 cm.",,
2012-01741,BIOLOGY : mock papers for HKDSEE. Paper 1,,English,"Lam Man Yee, Chan Yu Hei",,Times Publishing (Hong Kong) Limited,978-988-8129-07-2,,sp,,Unpriced,,,,,,Hong Kong,2011,"various paging : ill., charts ; 28 cm.",,
