serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2013-01868,ANNOTATED ordinances of Hong Kong : consolidated table of cases 2012. Vol. 2. M-Z,,English,,,LexisNexis,978-988-8147-16-8,,set,$,5400.00,978-988-8147-18-2,,,$,Unpriced,Hong Kong,2012,unpaged ; 25 cm.,,
2013-03210,ANNOTATED ordinances of Hong Kong : Control of Exemption Clauses Ordinance (Cap 71),管制免責條款條例(第71章),English,,annotated by Lindy Course ; legal edited by Kenneth Liang,LexisNexis,978-988-8147-78-6,,pbk.,$,2780.00 (set),,,,,,Hong Kong,2013,"xvi, 47 p. ; 25 cm.",,
2013-03212,ANNOTATED ordinances of Hong Kong : Customs and Excise Service Ordinance (Cap 342),香港海關條例(第342章),English,,annotated by Nisha Mohamed ; legal edited by Kenneth Liang,LexisNexis,978-988-8147-31-1,,pbk.,$,2780.00 (set),,,,,,Hong Kong,2013,"xiv, 74 p. ; 25 cm.",,
2013-01863,ANNOTATED ordinances of Hong Kong : Law Amendment and Reform (Consolidation) Ordinance (Cap 23),法律修訂及改革(綜合)條例(第23章),English,,annotated by Elliot J Fung ; legal editor Kenneth Liang,LexisNexis,978-988-8147-55-7,,pbk.,$,2700.00 (set),,,,,,Hong Kong,2012,"xx, 63 p. ; 25 cm.",,
2013-03213,ANNOTATED ordinances of Hong Kong : Limitation Ordinance (Cap 347),時效條例(第347章),English,,annotated by Arthur Redisall Lee ; legal edited by Kenneth Liang,LexisNexis,978-988-8147-80-9,,pbk.,$,2780.00 (set),,,,,,Hong Kong,2013,"xxxviii, 142 p. ; 25 cm.",,
2013-01866,ANNOTATED ordinances of Hong Kong : Magistrates Ordinance (Cap 227),裁判官條例(第227章),English,,"annotated by Mickey Fung, Lily Ho MY ; legal editor Kenneth Liang",LexisNexis,978-988-8146-78-9,,pbk.,$,2700.00 (set),,,,,,Hong Kong,2012,"xxx, 448 p. ; 25 cm.",,
2013-03211,ANNOTATED ordinances of Hong Kong : Misrepresentation Ordinance (Cap 284),失實陳述條例(第284章),English,,annotated by Lindy Course ; legal edited by Kenneth Liang,LexisNexis,978-988-8147-79-3,,pbk.,$,2780.00 (set),,,,,,Hong Kong,2013,"x, 15 p. ; 25 cm.",,
2013-03209,ANNOTATED ordinances of Hong Kong : Sale of Goods Ordinance (Cap 26),貨品售賣條例(第26章),English,,annotated by Lindy Course ; legal edited by Kenneth Liang,LexisNexis,978-988-8147-77-9,,pbk.,$,2780.00 (set),,,,,,Hong Kong,2013,"xxx, 109 p. ; 25 cm.",Glossary,
2013-03214,ANNOTATED ordinances of Hong Kong : Supply of Services (Implied Terms) Ordinance (Cap 457),服務提供(隱含條款)條例(第457章),English,,annotated by Agnes Chan ; legal edited by Kenneth Liang,LexisNexis,978-988-8147-81-6,,pbk.,$,2780.00 (set),,,,,,Hong Kong,2013,"xiv, 22 p. ; 25 cm.",,
2013-03215,ANNOTATED ordinances of Hong Kong : Unconscionable Contracts Ordinance (Cap 458),不合情理合約條例(第458章),English,,annotated by Alfred YF Sit ; legal edited by Kenneth Liang,LexisNexis,978-988-8147-86-1,,pbk.,$,2780.00 (set),,,,,,Hong Kong,2013,"xviii, 30 p. ; 25 cm.",,
2013-03206,ANZ treasury perspectives 2013,,English,,edited by Shweta Moogimane,PPP Company Limited,978-988-8151-73-8,,pbk.,,Unpriced,,,,,,Hong Kong,2013,"208 p. : col. ill., col. maps ; 21 cm.",,
2013-01218,AQUASCAPE : a piece of living art,水景藝萃:融薈自然生態之藝術,English,,,Creative Aquascape Union Limited,978-988-16287-1-8,,,USD,50.00,,,,,,Hong Kong,2012,232 p. : col. ill. ; 22 x 28 cm.,Includes bibliographical references,
2013-00006,ARBITRATION in Hong Kong : a practical guide,,English,,edited by Geoffrey Ma,Thomson Reuters Hong Kong Limited,978-962-661-499-0,,pbk.,$,800.00,,,,,,Hong Kong,2012,lxxxiv 904 p. ; 24 cm.,Includes bibliographical references and index,2nd ed.
2013-00009,ARBITRATOR’S insights : essays in honour of Neil Kaplan : liber amicorum Neil Kaplan,,English,,"edited by Chiann Bao, Felix Lautenschlager",Thomson Reuters Hong Kong Limited,978-962-661-520-1,,,$,1388.00,,,,,,Hong Kong,2012,"393 p. : ill., port. ; 24 cm.",Includes bibliographical references,
2013-00015,"ARCHBOLD Hong Kong : criminal law, pleading, evidence and practice, 2013",,English,,edited by Bokhary NPJ,Thomson Reuters Hong Kong Limited,978-962-661-478-5,,,$,7500.00,,,,,,Hong Kong,2012,"ccxxxiv, 2528 p. ; 26 cm.",+ 1 card Includes index,
2013-01227,ARISTO first vocabulary plus. 1,,English,,,Aristo Educational Press Limited,978-988-8198-10-8,,pbk.,,Unpriced,,,,,,Hong Kong,2012,75 p. : ill. ; 21 cm.,,
2013-01228,ARISTO first vocabulary plus. 2,,English,,,Aristo Educational Press Limited,978-988-8198-11-5,,pbk.,,Unpriced,,,,,,Hong Kong,2012,81 p. : ill. ; 21 cm.,,
2013-01229,ARISTO first vocabulary plus. 3,,English,,,Aristo Educational Press Limited,978-988-8198-12-2,,pbk.,,Unpriced,,,,,,Hong Kong,2012,81 p. : ill. ; 21 cm.,,
2013-01230,ARISTO success vocabulary plus. 1,,English,,,Aristo Educational Press Limited,978-988-8198-13-9,,pbk.,,Unpriced,,,,,,Hong Kong,2012,79 p. : ill. ; 21 cm.,,
2013-01231,ARISTO success vocabulary plus. 2,,English,,,Aristo Educational Press Limited,978-988-8198-14-6,,pbk.,,Unpriced,,,,,,Hong Kong,2012,79 p. : ill. ; 21 cm.,,
2013-01232,ARISTO success vocabulary plus. 3,,English,,,Aristo Educational Press Limited,978-988-8198-15-3,,pbk.,,Unpriced,,,,,,Hong Kong,2012,95 p. : ill. ; 21 cm.,,
2013-01267,ARTINI CHINA COMPANY LIMITED Artini China Company Limited interim report 2012-13,雅天妮中國有限公司中期報告2012-13,English,,,Artini China Company Limited,,,,,,,,,,,Hong Kong,2012,"28, 28 p. ; ill. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01021,New days,,English,"ASHBY, Jennifer",Jennifer Ashby,Jennifer Ashby,978-988-16911-2-5,,,,Unpriced,,,,,,Hong Kong,2012,52 cards : col. ill. ; 13 cm.,,
2013-01036,ASIA Pacific & UAE in-house handbook : the essential in-house resource,,English,,,Pacific Business Press Limited,978-962-86990-8-7,,pbk.,,Unpriced,,,,,,Hong Kong,2012,"302 p. : col. ill., col. charts ; 26 cm.",,2012 ed.
2013-01379,ASIA-PACIFIC. Exhibition,,English,,directed by Danny Zhai,Hinge Marketing Limited,978-962-8063-17-8,,set,USD,385.00,,,,,,Hong Kong,2013,203 p. : col. ill. ; 27 cm.,Text in simplified Chinese and English,
2013-01377,ASIA-PACIFIC. Hotel + office,,English,,directed by Danny Zhai,Hinge Marketing Limited,978-962-8063-16-1,,set,USD,385.00,,,,,,Hong Kong,2013,247 p. : col. ill. ; 27 cm.,Text in simplified Chinese and English,
2013-01380,ASIA-PACIFIC. Residential,,English,,directed by Danny Zhai,Hinge Marketing Limited,978-962-8063-14-7,,set,USD,385.00,,,,,,Hong Kong,2013,271 p. : col. ill. ; 27 cm.,Text in simplified Chinese and English,
2013-01376,ASIA-PACIFIC. Restaurant,,English,,directed by Danny Zhai,Hinge Marketing Limited,978-962-8063-12-3,,set,USD,385.00,,,,,,Hong Kong,2013,199 p. : col. ill. ; 27 cm.,Text in simplified Chinese and English,
2013-01375,ASIA-PACIFIC. Retail + public space,,English,,directed by Danny Zhai,Hinge Marketing Limited,978-962-8063-13-0,,set,USD,385.00,,,,,,Hong Kong,2013,207 p. : col. ill. ; 27 cm.,Text in simplified Chinese and English,
2013-01378,ASIA-PACIFIC. Showflat + leisure & entertainment space,,English,,directed by Danny Zhai,Hinge Marketing Limited,978-962-8063-15-4,,set,USD,385.00,,,,,,Hong Kong,2013,215 p. : col. ill. ; 27 cm.,Text in simplified Chinese and English,
2013-01034,ASIAN in-house handbook : Asia’s essential in-house resource,,English,,,Pacific Business Press Limited,962-86990-1-6,,pbk.,,Unpriced,,,,,,Hong Kong,2003,"276 p. : ill., charts ; 26 cm.",Includes index,2003-04 ed.
2013-01035,ASIAN in-house handbook : Asia’s essential in-house resource,,English,,,Pacific Business Press Limited,978-962-86990-3-2,,pbk.,,Unpriced,,,,,,Hong Kong,2007,"v, 245 p. : ill. ; 26 cm.",Includes index,2007-08 ed.
2013-01025,"AU, Hoi Lam Works by Au Hoi Lam",區凱琳作品,English,,Au Hoi Lam,Osage Gallery Limited,978-988-19720-8-8,,pbk.,$,200.00,,,,,,Hong Kong,2012,33 p. : col. ill. ; 21 cm.,Text in Chinese and English,
2013-00670,AURUM PACIFIC (CHINA) GROUP LIMITED Aurum Pacific (China) Group Limited 2012 third quarterly report,奧栢中國集團有限公司2012第三季度報告,English,,,Aurum Pacific (China) Group Limited,,,,,,,,,,,Hong Kong,2012,"15, 15 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00013,AUTHORISED Hong Kong law reports & digest 2012. Volume 3,,English,,edited by Gerard McCoy,Thomson Reuters Hong Kong Limited,978-962-661-490-7,,,,Unpriced,,,,,,Hong Kong,2012,"lxi, 796 p. ; 25 cm.",Includes index Text partially in Chinese,
2013-00014,AUTHORISED Hong Kong law reports & digest 2012. Volume 4,,English,,edited by Gerard McCoy,Thomson Reuters Hong Kong Limited,978-962-661-491-4,,,,Unpriced,,,,,,Hong Kong,2012,"lxvii, 1026 p. ; 25 cm.",Includes index Text partially in Chinese,
2013-00628,AV CONCEPT HOLDINGS LIMITED AV Concept Holdings Limited interim report 2012-2013,AV Concept Holdings Limited中期報告2012-2013,English,,,AV Concept Holdings Limited,,,,,,,,,,,Hong Kong,2012,"34, 34 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01531,BASIS point 2013 annual,,English,,edited by Jacqueline Poh,Thomson Reuters Hong Kong Limited,978-988-16254-1-0,,pbk.,,Unpriced,,,,,,Hong Kong,2013,"90 p. : col. ill., col. charts ; 29 cm.",,
2013-03253,"BASQUIAT, Jean-Michel Jean-Michel Basquiat (1960-1988) : works on paper",,English,,,C A Design,978-962-7502-91-3,,,,Unpriced,,,,,,Hong Kong,2013,30 p. : col. ill. ; 28 cm.,,
2013-00677,BAUHAUS INTERNATIONAL (HOLDINGS) LIMITED Bauhaus International (Holdings) Limited interim report 2012,包浩斯國際(控股)有限公司中期報告2012,English,,,Bauhaus International (Holdings) Limited,,,,,,,,,,,Hong Kong,2012,"40, 40 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00021,"BEAT HKDSE English language. Paper 3, Listening & integrated skills. Environmental conservation",,English,Derek Liu,,Sharp Profits Limited,978-988-15457-6-3,,pbk.,$,45.00,,,,,,Hong Kong,2012,28 p. : col. ill. ; 25 cm.,+ 1 data file,
2013-03075,BEBEE & friends. Colour,,English,,,Beluga Limited,978-988-15908-3-1,,,,Unpriced,,,,,,Hong Kong,2012,unpaged : col. ill. ; 16 cm.,,
2013-03076,BEBEE & friends. Counting,,English,,,Beluga Limited,978-988-15908-4-8,,,,Unpriced,,,,,,Hong Kong,2012,unpaged : col. ill. ; 16 cm.,,
2013-03078,BEBEE & friends. Opposites,,English,,,Beluga Limited,978-988-15908-5-5,,,,Unpriced,,,,,,Hong Kong,2012,unpaged : col. ill. ; 16 cm.,,
2013-03077,BEBEE & friends. Shapes,,English,,,Beluga Limited,978-988-15908-6-2,,,,Unpriced,,,,,,Hong Kong,2012,unpaged : col. ill. ; 16 cm.,,
2013-00612,BESTWAY INTERNATIONAL HOLDINGS LIMITED Bestway International Holdings Limited interim report 2012,百威國際控股有限公司二零一二中期報告,English,,,Bestway International Holdings Limited,,,,,,,,,,,Hong Kong,2012,28 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-01503,"Bermuda, British Virgin Islands, and Cayman Islands company law",,English,Christopher Bickley,,Thomson Reuters Hong Kong Limited,978-962-661-437-2,,,$,3800.00,,,,,,Hong Kong,2012,"lviii, 501 p. ; 24 cm.",Includes index,4th ed.
2013-02759,BIOLOGY exercise for HKDSE. Book 4,,English,S.W. Ng,,Takka Education Books Co,978-962-7690-75-7,,pbk.,$,58.00,,,,,,Hong Kong,2012,101 p. : ill.; 26 cm.,,
2013-01615,BIOLOGY : mock exam papers,,English,Catherine Wong,,Hong Kong Educational Publishing Company,978-988-8121-49-6,,sp,$,130.00,,,,,,Hong Kong,2012,various paging : ill. ; 29 cm.,HKDSE exam series,
2013-00241,BIOLOGY : mock papers for HKDSEE. Paper 1,,English,"Lam Man Yee, Chan Yu Hei",,Times Publishing (Hong Kong) Limited,978-988-226-201-0,,sp,,Unpriced,,,,,,Hong Kong,2012,"various paging : ill., charts ; 28 cm.",,2013 ed.
2013-00242,BIOLOGY : mock papers for HKDSEE. Paper 2,,English,"Lam Man Yee, Chan Yu Hei",,Times Publishing (Hong Kong) Limited,978-988-226-203-4,,sp,,Unpriced,,,,,,Hong Kong,2012,"various paging : ill., charts ; 28 cm.",,2013 ed.
2013-00672,BIOSINO BIO-TECHNOLOGY AND SCIENCE INCORPORATION Biosino Bio-Technology and Science Incorporation third quarterly report 2012,中生北控生物科技股份有限公司第三季度業績報告2012,English,,,Biosino Bio- Technology and Science Incorporation,,,,,,,,,,,Hong Kong,2012,"14, 14 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01204,BOOK meeting,,English,,edited by Li Jiang,Designer Books Company Limited,978-988-16074-3-0,,,CNY,280.00,,,,,,Hong Kong,2012,262 p. : chiefly ill. (chiefly col.) ; 29 cm.,,
2013-01352,"De ma jungle, affecTUEUSEment",,English,Francois Boucher,,Boucher and Luo Infodoc Limited,978-988-15715-1-9,,pbk.,$,218.00,,,,,,Hong Kong,2013,261 p. : maps ; 21 cm.,,
2013-02488,"BRANDT, Denise Hoffman City sink : carbon cycle infrastructure for our built environments",,English,Denise Hoffman Brandt,,Oscar Riera Ojeda Publishers Limited,978-988-15125-8-1,,,USD,40.00,,,,,,Hong Kong,2012,"143 p. : ill. (chiefly col.), col. maps ; 22 x 28 cm.",Includes bibliographical references,
2013-00618,BRIGHT SMART SECURITIES & COMMODITIES GROUP LIMITED Bright Smart Securities & Commodities Group Limited 2012/13 interim report,耀才證券金融集團有限公司2012,English,13中期報告,,Bright Smart Securities & Commodities Group Limited,,,,,,,,,,,Hong Kong,2012,64 p. : col. charts ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-03595,"BRIGHT SMART SECURITIES & COMMODITIES GROUP LIMITED Bright Smart Securities & Commodities Group Limited renewal of continuing connected transactions and notice of extraordinary general meeting, 8 March 2013","耀才證券金融集團有限公司更新持續關連交易及股東特別大會通告,二零一三年三月八日",English,,,Bright Smart Securities & Commodities Group Limited,,,,,,,,,,,Hong Kong,2013,"43, 43 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01504,BRITISH Virgin Islands commercial law,,English,Harney Westwood & Riegels,,Thomson Reuters Hong Kong Limited,978-962-661-479-2,,,$,4200.00,,,,,,Hong Kong,2012,"ciii, 734 p. ; 24 cm.",Includes bibliographical references and index,2nd ed.
2013-03228,"Kids corner. 5, Meet the astronauts",,English,Christine Bruce,,Pearson Education Asia Limited,978-988-00-9120-9,,pbk.,,Unpriced,,,,,,Hong Kong,2013,24 p. : col. ill. ; 21 cm.,,
2013-00004,BUSINESS law in Hong Kong,,English,,edited by D.K. Srivastava,Thomson Reuters Hong Kong Limited,978-962-661-411-2,,pbk.,$,1200.00,,,,,,Hong Kong,2012,lxx 746 p. ; 24 cm.,Includes bibliographical references and index,3rd ed.
2013-00477,The adventures of Bossy Brianna,,English,Chloe Canter ... [et al.],,Elephant Community Press Limited,978-988-16801-2-9,,pbk.,$,85.00,,,,,,Hong Kong,2012,76 p. : ill. ; 21 cm.,,
2013-01124,"CAPITAL mobility and workers in Asia : case studies on Japan, China, Philippines and Thailand",,English,,edited by Asia Monitor Resource Centre,Asia Monitor Resource Centre,978-962-7145-38-7,,pbk.,,Unpriced,,,,,,Hong Kong,2011,139 p. : ill. ; 30 cm.,(Capital mobility research paper series) Includes bibliographical references,
2013-01033,Nero : an exemplary life,,English,"CARDANO, Girolamo",Girolamo Cardano ; translated by Angelo Paratico,"Sargent, Alan Rodney",978-988-99939-6-2,,pbk.,$,145.00,978-988-99939-8-6,,e-book,$,,Hong Kong,2012,222 p. ; 23 cm.,Includes bibliographical references,
2013-01489,Alice in wonderland,愛麗絲夢遊仙境,English,"CARROLL, Lewis",Lewis Carroll ; edited by L.K. Chan,Students - Kingdom Publishing Limited,978-988-16035-3-1,,set,$,960.00,,,,,,Hong Kong,2012,"125, 119 p. : ill. ; 19 cm.",(Bilingual collection of literature) Text in Chinese and English,
2013-00630,CCID CONSULTING COMPANY LIMITED CCID Consulting Company Limited third quarterly report 2012,賽迪顧問股份有限公司第三季度業績報告2012,English,,,CCID Consulting Company Limited,,,,,,,,,,,Hong Kong,2012,"18, 18 p. : charts ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00631,CELEBRATE INTERNATIONAL HOLDINGS LIMITED Celebrate International Holdings Limited first quarterly report 2012/2013,譽滿國際(控股)有限公司第一季度業績報告2012,English,2013,,Celebrate International Holdings Limited,,,,,,,,,,,Hong Kong,2012,"14, 14 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-03116,CENSUS AND STATISTICS DEPARTMENT Gross domestic product 2012,,English,,,Census and Statistics Department,,,,,,,,,,,Hong Kong,2013,151 p. ; 30 cm.,Unpriced,
2013-01028,Roberto Chabet,,English,"CHABET, Roberto",edited by Agnes Lin,Osage Gallery Limited,978-988-19720-0-2,,pbk.,$,200.00,,,,,,Hong Kong,2012,153 p. : col. ill. ; 25 cm.,,
2013-00480,Wanna swap?,,English,Kion Chan ... [et al.],,Elephant Community Press Limited,978-988-16801-4-3,,pbk.,$,90.00,,,,,,Hong Kong,2012,170 p. : ill. ; 21 cm.,,
2013-03226,"CHAN, Lai Pik Chinese jades : the Dr. S.Y. Kwan collection",中國玉雕:關肇頤醫生藏品,English,Chan Lai Pik,,The Chinese University of Hong Kong. Art Museum,978-962-7101-99-4,,,$,300.00,,,,,,Hong Kong,2012,243 p. : ill. (chiefly col.) ; 30 cm.,Text in Chinese and English,
2013-03246,"CHAN, Peggy L. K. AAT. Paper 5, Principles of taxation",,English,Peggy L.K. Chan,,Pearson Education Asia Limited,978-988-224-979-0,,pbk.,,Unpriced,,,,,,Hong Kong,2013,283 p. : charts ; 30 cm.,Includes index,
2013-02769,Writing in(to) architecture : China’s architectural design and construction since 1949,速寫建築:一九四九年以來的中國建築寫作與創建,English,Sylvia Chan,,East Slope Publishing Limited,978-988-15005-8-8,,pbk.,$,120.00,,,,,,Hong Kong,2012,"xiii, 139 p. : ill. ; 18 x 32 cm.",Includes bibliographical references Text in Chinese and English,
2013-03105,CHANCETON FINANCIAL GROUP LIMITED Chanceton Financial Group Limited 2012 third quarterly report,川盟金融集團有限公司2012第三季度報告,English,,,Chanceton Financial Group Limited,,,,,,,,,,,Hong Kong,2013,"22, 22 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-01529,"CHANCETON FINANCIAL GROUP LIMITED Chanceton Financial Group Limited proposed placing of new shares under specific mandate and proposed refreshment of general mandates to issue new shares; and notice of extraordinary general meeting, 8 January 2013","川盟金融集團有限公司建議根據特別授權配售新股份及建議更新一般授權以發行新股份；及股東特別大會通告,二零一三年一月八日",English,,,Chanceton Financial Group Limited,,,,,,,,,,,Hong Kong,2013,"30, 30 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-03099,CHANGING times for Mainland watch demand : survey of eight cities,,English,Hong Kong Trade Development Council,,Hong Kong Trade Development Council,978-988-12133-1-0,,pbk.,$,200.00,,,,,,Hong Kong,2013,"iv, 56 p. : col. charts ; 26 cm.",HKTDC research,
2013-01584,CHEMISTRY in 24 hours for the HKDSE. Elective part. Analytical chemistry,,English,M.W. Tang,,Fillans Ltd,978-962-7326-66-3,,pbk.,$,38.00,,,,,,Hong Kong,2012,65 p. : ill. ; 23 cm.,,
2013-01583,CHEMISTRY in 24 hours for the HKDSE. Elective part. Industrial chemistry,,English,M.W. Tang,,Fillans Ltd,978-962-7326-71-7,,pbk.,$,38.00,,,,,,Hong Kong,2012,60 p. : ill. ; 23 cm.,,
2013-01614,CHEMISTRY : mock exam papers,,English,Roger Mang,,Hong Kong Educational Publishing Company,978-988-8121-51-9,,sp,$,130.00,,,,,,Hong Kong,2012,various paging : ill. ; 29 cm.,HKDSE exam series,2nd ed.
2013-00239,CHEMISTRY : mock papers for HKDSEE. Paper 1,,English,"Wong Yiu Chung, Lai Chi Ming",,Times Publishing (Hong Kong) Limited,978-988-226-205-8,,sp,,Unpriced,,,,,,Hong Kong,2012,various paging : ill. ; 28 cm.,,2013 ed.
2013-00240,CHEMISTRY : mock papers for HKDSEE. Paper 2,,English,"Wong Yiu Chung, Lai Chi Ming",,Times Publishing (Hong Kong) Limited,978-988-226-207-2,,sp,,Unpriced,,,,,,Hong Kong,2012,various paging : ill. ; 28 cm.,,2013 ed.
2013-00019,CHEN HSONG HOLDINGS LIMITED Chen Hsong Holdings Limited 2012/2013 interim report,震雄集團有限公司2012,English,2013中期報告,,Chen Hsong Holdings Limited,,,,,,,,,,,Hong Kong,2012,"36, 36 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-00475,Why not?,,English,Jaden Cheng ... [et al.],,Elephant Community Press Limited,978-988-16801-1-2,,pbk.,$,85.00,,,,,,Hong Kong,2012,84 p. : ill. ; 15 x 21 cm.,,
2013-00642,CHEONG MING INVESTMENTS LIMITED Cheong Ming Investments Limited interim report 2012-13,昌明投資有限公司中期業績報告2012-13,English,,,Cheong Ming Investments Limited,,,,,,,,,,,Hong Kong,2012,"32, 32 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
